title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"Justice League Dark",movie,"Action, Adventure, Animation",2017,tt2494376,7,29894,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"The Distinguished Citizen",movie,"Comedy, Drama",2016,tt4562518,7.5,13737,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Teen Titans: The Judas Contract",movie,"Action, Adventure, Animation",2017,tt6315800,7,17809,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HK, HN, ID, JM, LC, MX, MY, NI, PA, PE, PH, PY, SG, SV, TC, TH, TT, TW, UY, VE"
"Batman and Harley Quinn",movie,"Action, Adventure, Animation",2017,tt6556890,5.9,15624,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HK, HN, ID, JM, LC, MX, MY, NI, PA, PE, PH, PY, SG, SV, TC, TH, TT, TW, UY, VE"
"Scooby-Doo! and WWE: Curse of the Speed Demon",movie,"Adventure, Animation, Comedy",2016,tt4196868,6,2054,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HK, HN, ID, JM, LC, MX, MY, NI, PA, PE, PH, PY, SG, SV, TC, TH, TT, TW, UY, VE"
"Line Walker",movie,"Action, Crime, Mystery",2016,tt5896962,6,1661,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Batman: Return of the Caped Crusaders",movie,"Action, Adventure, Animation",2016,tt5973626,6.7,6613,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HK, HN, ID, JM, LC, MX, MY, NI, PA, PE, PH, PY, SG, SV, TC, TH, TT, TW, UY, VE"
"The Divine Comedy",movie,"Comedy, Fantasy",2017,tt5207840,4.8,117,BR
"Batman Unlimited: Mechs vs. Mutants",movie,"Action, Animation, Sci-Fi",2016,tt5896146,5.8,2000,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HK, HN, ID, JM, LC, MX, MY, NI, PA, PE, PH, PY, SG, SV, TC, TH, TT, TW, UY, VE"
"The Perfect Mother",movie,Drama,1997,tt0165423,6.2,372,"AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, GT, GY, HN, HR, HU, JM, LC, MD, ME, MK, MX, NI, NL, PA, PE, PL, PY, RO, RS, SI, SK, SV, TC, TT, UY, VE"
"The Animal's Wife",movie,Drama,2016,tt4335804,7.1,488,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, RS, SI, SK"
"The Fixer",movie,"Drama, Thriller",2016,tt4950192,6.6,542,"MD, RO"
"The Last of His Tribe",movie,"Drama, Romance",1992,tt0104690,6.8,659,"AD, AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DK, DO, EC, ES, FI, GT, GY, HK, HN, HR, HU, ID, JM, LC, MD, ME, MK, MX, MY, NI, NO, PA, PE, PH, PL, PY, RO, RS, SE, SG, SI, SK, SV, TC, TH, TT, TW, UY, VE"
"Saint George",movie,"Crime, Drama",2016,tt4895668,6.9,2135,PT
"Oasis: Supersonic",movie,"Biography, Documentary, Music",2016,tt5213534,7.8,12977,US
"Roman J. Israel, Esq.",movie,"Crime, Drama, Thriller",2017,tt6000478,6.5,44764,"BA, BG, HR, ME, MK, RS, SI"
"Son of Bigfoot",movie,"Adventure, Animation, Comedy",2017,tt5715410,6.1,8367,"DK, FI, NO, SE"
Mudbound,movie,"Drama, War",2017,tt2396589,7.4,55480,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Barbie: Star Light Adventure",movie,"Animation, Family, Sci-Fi",2016,tt5502946,5.8,1119,"AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, GT, GY, HN, HR, HU, JM, LC, MD, ME, MK, MX, NI, PA, PE, PL, PY, RO, RS, SI, SK, SV, TC, TT, UY, VE"
"Daddy Is My Idol",movie,"Comedy, Family",2000,tt0271701,4.4,410,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Barbie & Her Sisters in a Puppy Chase",movie,Animation,2016,tt5888384,4.9,495,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Forever My Girl",movie,"Comedy, Drama, Music",2018,tt4103724,6.6,22758,US
Monos,movie,"Adventure, Drama, Thriller",2019,tt6062774,6.8,19295,US
"Loro 1",movie,"Biography, Drama",2018,tt6748466,6.7,5396,PL
"It Comes at Night",movie,"Drama, Horror, Mystery",2017,tt4695012,6.1,106486,US
"Marathon: The Patriots Day Bombing",movie,Documentary,2016,tt6047906,7.9,986,"AD, AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, ES, GT, GY, HN, HR, HU, JM, LC, MD, ME, MK, MX, NI, NL, PA, PE, PL, PY, RO, RS, SI, SK, SV, TC, TT, US, UY, VE"
"Alguém Como Eu",movie,"Comedy, Drama, Family",2017,tt2179155,4.5,238,PT
